"","","","",""
"","","","",""
"","Sequence","Subject","Topic","No. of Classes"
"","1","Engineering Maths","Linear Algebra","11"
"","","","Calculus","17"
"","","","Vector Calculus","2"
"","","","Differential Equations","5"
"","","","Numerical Methods","4"
"","","","Laplace Transform","3"
"","","","Complex Analysis","5"
"","","","Probability & Statistics","17"
"","2","Strength of Materials (SOM)","Introduction","2"
"","","","Axially Loaded Members","3"
"","","","Torsions in Circular Shafts","1"
"","","","Shear Forces and Bending Moments","2"
"","","","Bending Stresses in Beams","1"
"","","","Shear Stresses in Beams","1"
"","","","Deflection in Beams","2"
"","","","Energy Method","1"
"","","","Complex Stresses","1"
"","","","Complex Strain","1"
"","","","Combine Loading","1"
"","","","Pressure Vessels","1"
"","","","Columns","1"
"","3","Fluid Mechanics (FM)","Fluid and Its Properties","7"
"","","","Pressure and Its Measurements","4"
"","","","Hydrostatic Forces","3"
"","","","Buoyancy and Stability","2"
"","","","Fluid Kinematics","4"
"","","","Fluid Dynamics","6"
"","","","Laminal Flow","3"
"","","","Flow Through Pipes","2"
"","","","Dimensional Analysis and Model Studies","4"
"","","","Boundary Layer Theory","2"
"","","","Drag and Lift","1"
"","","","Turbulent Flow","1"
"","","","Hydraulics Machinery","6"
"","4","Engineering Mechanics (EM)","Basic Concept","2"
"","","","Equilibrium","1"
"","","","Frictions and its Applications","2"
"","","","Truss and Frames","2"
"","","","Centroid and Moment of Inertia","2"
"","","","Kinematics of Particles","2"
"","","","Kinematics of Rigid Bodies","2"
"","","","Kinetics of Particles","2"
"","","","Kinetics of Rigid Bodies","2"
"","","","Lagrange Equation of Motion","1"
"","5","Theory of Machines (Tom)","Simple Mechanism","6"
"","","","Velocity Analysis","3"
"","","","Acceleration Analysis","2"
"","","","Gear","4"
"","","","Gear Train","2"
"","","","Analysis of Single Slider Crank Mechanism","1"
"","","","Flywheel","2"
"","","","Balancing","1"
"","","","Vibration","5"
"","","","Gyroscopic Couple","1"
"","","","Cam and Follower","1"
"","","","Governor","1"
"","6","Thermodynamics","Basic Concept","6"
"","","","Work and Heat","3"
"","","","First Law of Thermodynamics","6"
"","","","Second Law of Thermodynamics","4"
"","","","Entropy","3"
"","","","Exergy","3"
"","","","Properties of Pure Substance","3"
"","","","Thermodynamics Relation","1"
"","7","Applied Thermodynamics","VCRS","1"
"","","","Analysis of VCRS","1"
"","","","Vapour Absorption System","1"
"","","","Gas Refrigeration","1"
"","","","Refrigerants","1"
"","","","Psychrometric Basics","1"
"","","","Psychrometric","1"
"","","","Thermodynamics Cycles","1"
"","","","Otto Cycle Analysis","1"
"","","","Diesel Cycle Analysis","1"
"","","","Dual Cycle Analysis","1"
"","","","MEP and Efficiencies","1"
"","","","Engine Tests and Analysis","1"
"","","","Brayton Cycle","1"
"","","","Brayton Cycle Analysis","1"
"","","","Reheat Cycle","1"
"","","","Regeneration","2"
"","","","Basics of Rankine Cycle","1"
"","","","Modifications in Rankine Cycle","1"
"","","","Reheat and Regeneration","1"
"","","","Compressible Flow","1"
"","","","Reciprocating Air Compressor","0"
"","","","Centrifugal Air Compressor","2"
"","","","Axial Air Compressor","1"
"","","","Steam Turbine","1"
"","","","Power Plant Auxiliaries","1"
"","8","Design of Machines (Dom)","Brakes","3"
"","","","Clutches","2"
"","","","Design Against Static Loads","3"
"","","","Design Against Fluctuating Loads","3"
"","","","Welded, Riveted and Bolted Joints","4"
"","","","Bearings","2"
"","","","Springs","1"
"","","","Gears, Shafts, Key and Couplings","1"
"","9","Heat Transfer (HT)","Introduction","1"
"","","","Steady Conduction Heat Transfer","10"
"","","","Critical Radius of Insulation","1"
"","","","Fins","2"
"","","","Unsteady Transient Conduction Heat Transfer","3"
"","","","Convection Heat Transfer","5"
"","","","Radiation Heat Transfer","5"
"","","","Boiling and Condensation","1"
"","","","Heat Exchanger","3"
"","10","Material Science","Phase Diagram","4"
"","","","Dislocation Theory","4"
"","","","TTT Diagram","1"
"","","","Heat Treatment","2"
"","","","Crystallography","2"
"","","","Corrosion","1"
"","","","Nanomaterial and Polymer","1"
"","","","Ceramic and Composites","1"
"","11","Manufacturing & Production","Metal Forming","11"
"","","","Additional Topics","4"
"","","","Metrology","8"
"","","","Casting","4"
"","","","Theory of Metal Cutting","5"
"","","","Tool Life","2"
"","","","Non Traditional Machining","2"
"","","","Welding","3"
"","","","NC, CNC","3"
"","","","Machine Tool","4"
"","","","Additive Manufacturing","1"
"","12","Industrial Engineering","Forecasting","4"
"","","","Break Even Point","1"
"","","","Production Planning Control","3"
"","","","Linear Programming","2"
"","","","Simplex Method","4"
"","","","Assignment","2"
"","","","Transportation","3"
"","","","PERT and CPM","3"
"","","","Line Balancing","1"
"","","","Inventory Control","3"
"","","","Queuing Theory","2"
"","","","Work Study and Work Measurement","1"
"","","","Plant Layout and MRP","1"
"","","","Control Chart","1"
"","","","Value Engineering","1"
"","13","Aptitude","Quantitative Aptitude","17"
"","","","Analytical Aptitude","6"
"","","","Spatial Aptitude","2"
"","","","Parts of Speech","2"
"","","","Non Grammar","2"
"","","","Vocabulary","1"
"","","","Reading Comprehension","1"
"","","TOTAL","GRAND TOTAL CLASSES","406"
