"","","","","",""
"","Topic","Class","DPP","PYQ","Status"
"","Fluid and Its Properties","","","",""
"","Pressure and Its Measurements","","","",""
"","Hydrostatic Forces","","","",""
"","Buoyancy and Stability","","","",""
"","Fluid Kinematics","","","",""
"","Fluid Dynamics","","","",""
"","Laminar Flow","","","",""
"","Flow Through Pipes","","","",""
"","Dimensional Analysis and Model Studies","","","",""
"","Boundary Layer Theory","","","",""
"","Drag and Lift","","","",""
"","Turbulent Flow","","","",""
"","Hydraulics Machinery","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","✔️❌🔄","","",""
