"","","","","",""
"","GATE SCHEDULE","","","",""
"SL. NO.","Subject","Duration","Target Date","Status","Completion Date"
"1","Engineering Mathematics","4 weeks","Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time)","On Going",""
"2","Strength of Materials (SOM)","3 weeks","Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time)","",""
"3","Fluid Mechanics (FM)","7 weeks","Wed Oct 28 2026 00:00:00 GMT+0530 (India Standard Time)","",""
"4","Engineering Mechanics (EM)","3 weeks","Thu Nov 12 2026 00:00:00 GMT+0530 (India Standard Time)","",""
"5","TOM + Vibrations","5 weeks","Sun Dec 20 2026 00:00:00 GMT+0530 (India Standard Time)","",""
"6","Thermodynamics","5 weeks","Sun Jan 24 2027 00:00:00 GMT+0530 (India Standard Time)","",""
"7","Applied Thermodynamics","4 weeks","Sun Feb 21 2027 00:00:00 GMT+0530 (India Standard Time)","",""
"8","Design of Machines (DOM)","3 weeks","Sun Mar 14 2027 00:00:00 GMT+0530 (India Standard Time)","",""
"9","Heat Transfer (HT)","5 weeks","Sun Apr 18 2027 00:00:00 GMT+0530 (India Standard Time)","",""
"10","Material Science","2 weeks","Mon May 03 2027 00:00:00 GMT+0530 (India Standard Time)","",""
"11","Manufacturing & Production","7 weeks","Wed Jun 30 2027 00:00:00 GMT+0530 (India Standard Time)","",""
"12","Industrial Engineering","5 weeks","Thu Jul 29 2027 00:00:00 GMT+0530 (India Standard Time)","",""
"13","Aptitude","5 weeks","Sat Sep 04 2027 00:00:00 GMT+0530 (India Standard Time)","",""
