"","","","","","","","",""
"","","GATE SCHEDULE","","","","","",""
"","SL. NO.","Subject","Duration","Target Date","Status","Completion Date","Total Classes","Days to Complete"
"","1","Engineering Mathematics","7 Weeks","21 Aug 2026","Completed ✔️","24 Aug 2026","64","50"
"","2","Strength of Materials (SOM)","2 Weeks","7 Sep 2026","On Going 🔄","10 Sep 2026","18","14"
"","3","Fluid Mechanics (FM)","5 Weeks","12 Oct 2026","","28 Oct 2026","45","35"
"","4","Engineering Mechanics (EM)","2 Weeks","26 Oct 2026","","12 Nov 2026","18","14"
"","5","TOM + Vibrations","3 Weeks","18 Nov 2026","","20 Dec 2026","29","23"
"","6","Thermodynamics","3 Weeks","11 Dec 2026","","24 Jan 2027","29","23"
"","7","Applied Thermodynamics","3 Weeks","1 Jan 2027","","21 Feb 2027","27","21"
"","8","Design of Machines (DOM)","2 Weeks","16 Jan 2027","","14 Mar 2027","19","15"
"","9","Heat Transfer (HT)","3 Weeks","8 Feb 2027","","18 Apr 2027","31","24"
"","10","Material Science","2 Weeks","21 February 2027","","3 May 2027","16","12"
"","11","Manufacturing & Production","5 Weeks","29 Mar 2027","","30 Jun 2027","47","37"
"","12","Industrial Engineering","4 Weeks","24 Apr 2027","","29 Jul 2027","32","25"
"","13","Aptitude","3 Weeks","17 May 2027","","4 Sep 2027","31","24"
"","","","","","","","406","316"
