"","","","","",""
"","","","","",""
"","","SUBJECTS","","",""
"","","Sequence","Subject","Total Classes","Weightage (Marks)"
"","","1","Engineering Maths","64","13"
"","","2","Strength of Materials (SOM)","18","7–9"
"","","3","Fluid Mechanics (FM)","45","7–9"
"","","4","Engineering Mechanics (EM)","18","4–6"
"","","5","Theory of Machines (TOM) & Vibrations","29","7–9"
"","","6","Thermodynamics","29","7–9"
"","","7","Applied Thermodynamics","27","7–9"
"","","8","Design of Machines (DOM)","19","6–8"
"","","9","Heat Transfer (HT)","31","6–8"
"","","10","Material Science","16","3–5"
"","","11","Manufacturing & Production","47","12–15"
"","","12","Industrial Engineering & OR","32","10–12"
"","","13","Aptitude","31","15"
"","","","TOTAL","406","100"
