"","","","","","",""
"","SL. NO.","Topics","Class","DPP","PYQ","Status"
"","1","Linear Algebra","✔️","🔄","❌","On Going"
"","2","Calculus","✔️","✔️","✔️","Completed"
"","3","Differential Equations","✔️","✔️","✔️","Completed"
"","4","Partial Differential Equation (PDE)","✔️","✔️","","Pending"
"","5","Vector Calculus","✔️","✔️","✔️","Completed"
"","6","Numerical Methods","✔️","✔️","✔️","Completed"
"","7","Laplace Transformation","✔️","✔️","✔️","Completed"
"","8","Complex Analysis","✔️","✔️","","On Going"
"","9","Probability & Statistics","🔄","🔄","","On Going"
"","","","","","Status","On Going"
