"","","","","",""
"SL. NO.","Topic","Class","DPP","PYQ","Status"
"1","Introduction","","","",""
"2","Axially Loaded Members","","","",""
"3","Torsion in Circular Shafts","","","",""
"4","Shear Forces and Bending Moments","","","",""
"5","Bending Stresses in Beams","","","",""
"6","Shear Stresses in Beams","","","",""
"7","Deflection in Beams","","","",""
"8","Energy Method","","","",""
"9","Complex Stresses","","","",""
"10","Complex Strain","","","",""
"11","Combined Loading","","","",""
"12","Pressure Vessels","","","",""
"13","Columns","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","✔️❌🔄","","",""
