"","","","","","",""
"","SL. NO.","Topic","Class","DPP","PYQ","Status"
"","1","Fluid and Its Properties","","","",""
"","2","Pressure and Its Measurements","","","",""
"","3","Hydrostatic Forces","","","",""
"","4","Buoyancy and Stability","","","",""
"","5","Fluid Kinematics","","","",""
"","6","Fluid Dynamics","","","",""
"","7","Laminar Flow","","","",""
"","8","Flow Through Pipes","","","",""
"","9","Dimensional Analysis and Model Studies","","","",""
"","10","Boundary Layer Theory","","","",""
"","11","Drag and Lift","","","",""
"","12","Turbulent Flow","","","",""
"","13","Hydraulics Machinery","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","✔️❌🔄","","",""
