"","","","","",""
"","Topic","Class","DPP","PYQ","Status"
"","Basic Concept","","","",""
"","Equilibrium","","","",""
"","Friction and Its Applications","","","",""
"","Truss and Frames","","","",""
"","Centroid and Moment of Inertia","","","",""
"","Kinematics of Particles","","","",""
"","Kinematics of Rigid Bodies","","","",""
"","Kinetics of Particles","","","",""
"","Kinetics of Rigid Bodies","","","",""
"","Lagrange Equation of Motion","","","",""
"","","","","",""
"","","","","",""
"","","✔️❌🔄","","",""
