"","","","","","",""
"","","Topic","Class","DPP","PYQ","Status"
"","Part 1","Metal Forming","","","",""
"","","Additional Topics","","","",""
"","","Metrology","","","",""
"","","Casting","","","",""
"","Part 2","Theory of Metal Cutting","","","",""
"","","Tool Life","","","",""
"","","Non-Traditional Machining","","","",""
"","","Welding","","","",""
"","","NC, CNC","","","",""
"","","Machine Tool","","","",""
"","","Additive Manufacturing","","","",""
"","","","","","",""
"","","","✔️❌🔄","","",""
